date;heure;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199;200;201;202;outdoorTemp;outletWaterTemp;PCforHeat;206;time;tempToKeep;hygroToKeep
2023-11-18;10:03:36;71;C8;1;10;56;55;52;49;0;55;0;0;0;0;0;0;0;0;0;0;19;15;12;55;15;9D;55;5;5;0;0;0;0;0;0;0;0;0;80;80;80;80;B4;71;71;97;99;0;0;0;0;0;0;0;0;0;0;0;80;85;15;8A;85;85;D0;7B;78;1F;7E;1F;1F;79;79;8D;8D;BC;AD;7B;8F;B7;A3;7B;8F;98;85;76;8F;8A;94;9E;8F;8A;94;9E;85;8F;8A;11;3D;78;C1;0B;0;0;0;0;0;0;0;0;55;F5;55;21;A9;15;59;5;11;12;65;0;0;0;0;0;0;0;0;E2;CF;0D;86;5;12;D0;0C;95;5;AD;0;0;8D;A8;AD;32;32;AF;A5;32;32;32;80;AF;AD;C5;93;AD;88;8F;88;97;9E;8F;1;19;30;0;0;98;28;45;8E;33;37;57;01;1;1;C5;1A;0;06;17;0;1;0;0;1;0;0;0D;2;11;49;1;1;1;1;0;0;0;C5;13.0;45.0;3.2;;2023-11-18 10:03:36;19.06103;75.8428375
2023-11-18;10:04:02;71;C8;1;10;56;55;52;49;0;55;0;0;0;0;0;0;0;0;0;0;19;15;12;55;15;9D;55;5;5;0;0;0;0;0;0;0;0;0;80;80;80;80;B4;71;71;97;99;0;0;0;0;0;0;0;0;0;0;0;80;85;15;8A;85;85;D0;7B;78;1F;7E;1F;1F;79;79;8D;8D;BC;AD;7B;8F;B7;A3;7B;8F;98;85;76;8F;8A;94;9E;8F;8A;94;9E;85;8F;8A;11;3D;78;C1;0B;0;0;0;0;0;0;0;0;55;F5;55;21;A9;15;59;5;11;12;65;0;0;0;0;0;0;0;0;E2;CF;0D;86;5;12;D0;0C;95;5;AD;0;0;8D;A8;AD;32;32;AF;A5;32;32;32;80;AF;AD;C5;93;AD;88;8F;88;97;9E;91;1;19;30;0;0;50;29;46;8F;32;37;57;01;1;1;C5;1A;0;06;17;0;1;0;0;1;0;0;0D;2;11;4A;1;1;1;1;0;0;0;08;13.0;45.0;3.2;;2023-11-18 10:04:02;19.0678025;75.854195
2023-11-18;10:04:28;71;C8;1;10;56;55;52;49;0;55;0;0;0;0;0;0;0;0;0;0;19;15;12;55;15;9D;55;5;5;0;0;0;0;0;0;0;0;0;80;80;80;80;B4;71;71;97;99;0;0;0;0;0;0;0;0;0;0;0;80;85;15;8A;85;85;D0;7B;78;1F;7E;1F;1F;79;79;8D;8D;BC;AD;7B;8F;B7;A3;7B;8F;98;85;76;8F;8A;94;9E;8F;8A;94;9E;85;8F;8A;11;3D;78;C1;0B;0;0;0;0;0;0;0;0;55;F5;55;21;A9;15;59;5;23;12;65;0;0;0;0;0;0;0;0;E2;CF;0D;86;5;12;D0;0C;95;5;AD;0;0;8D;A8;AD;32;32;AF;A5;32;32;32;80;AF;AD;C5;93;AE;88;90;88;97;9E;91;1;19;30;0;0;AC;29;46;91;33;37;57;01;1;1;C5;1A;0;06;17;0;1;0;0;1;0;0;0D;2;11;4C;1;1;1;1;0;0;0;93;13.0;45.0;3.2;;2023-11-18 10:04:28;19.0746725;75.86556999999999
2023-11-18;10:04:54;71;C8;1;10;56;55;52;49;0;55;0;0;0;0;0;0;0;0;0;0;19;15;12;55;15;9D;55;5;5;0;0;0;0;0;0;0;0;0;80;80;80;80;B4;71;71;97;99;0;0;0;0;0;0;0;0;0;0;0;80;85;15;8A;85;85;D0;7B;78;1F;7E;1F;1F;79;79;8D;8D;BC;AD;7B;8F;B7;A3;7B;8F;98;85;76;8F;8A;94;9E;8F;8A;94;9E;85;8F;8A;11;3D;78;C1;0B;0;0;0;0;0;0;0;0;55;F5;55;21;A9;15;59;5;23;12;65;0;0;0;0;0;0;0;0;E2;CF;0D;86;5;12;D0;0C;95;5;AD;0;0;8D;A8;AD;32;32;AF;A5;32;32;32;80;AF;AD;C6;93;AE;88;90;88;97;9E;91;1;19;30;0;0;50;29;46;91;33;37;57;01;1;1;C5;1A;0;06;17;0;1;0;0;1;0;0;0D;2;11;4B;1;1;1;1;0;0;0;EF;13.0;45.0;3.2;;2023-11-18 10:04:54;19.0817975;75.87463500000001
2023-11-18;10:05:20;71;C8;1;10;56;55;52;49;0;55;0;0;0;0;0;0;0;0;0;0;19;15;12;55;15;9D;55;5;5;0;0;0;0;0;0;0;0;0;80;80;80;80;B4;71;71;97;99;0;0;0;0;0;0;0;0;0;0;0;80;85;15;8A;85;85;D0;7B;78;1F;7E;1F;1F;79;79;8D;8D;BC;AD;7B;8F;B7;A3;7B;8F;98;85;76;8F;8A;94;9E;8F;8A;94;9E;85;8F;8A;11;3D;78;C1;0B;0;0;0;0;0;0;0;0;55;F5;55;21;A9;15;59;5;11;12;65;0;0;0;0;0;0;0;0;E2;CF;0D;86;5;12;D0;0C;95;5;AE;0;0;8D;A9;AE;32;32;AF;A5;32;32;32;80;AF;AE;C6;93;AE;88;90;88;97;9E;91;1;19;30;0;0;AC;29;46;92;33;37;57;01;1;1;C5;1A;0;06;17;0;1;0;0;1;0;0;0D;2;11;4C;1;1;1;1;0;0;0;9F;13.0;46.0;3.2;;2023-11-18 10:05:20;19.0887;75.8832875
2023-11-18;10:05:46;71;C8;1;10;56;55;52;49;0;55;0;0;0;0;0;0;0;0;0;0;19;15;12;55;15;9D;55;5;5;0;0;0;0;0;0;0;0;0;80;80;80;80;B4;71;71;97;99;0;0;0;0;0;0;0;0;0;0;0;80;85;15;8A;85;85;D0;7B;78;1F;7E;1F;1F;79;79;8D;8D;BC;AD;7B;8F;B7;A3;7B;8F;98;85;76;8F;8A;94;9E;8F;8A;94;9E;85;8F;8A;11;3D;78;C1;0B;0;0;0;0;0;0;0;0;55;F5;55;21;A9;15;59;5;11;12;65;0;0;0;0;0;0;0;0;E2;CF;0D;86;5;12;D0;0C;95;5;AE;0;0;8D;A9;AE;32;32;AF;A5;32;32;32;80;AF;AE;C6;93;AE;88;8F;88;98;9F;92;1;19;30;0;0;06;2A;47;92;32;37;58;01;1;1;C5;1A;0;06;17;0;1;0;0;1;0;0;0D;2;11;4D;1;1;1;1;0;0;0;40;13.0;46.0;3.2;;2023-11-18 10:05:46;19.0957425;75.891125
2023-11-18;10:06:12;71;C8;1;10;56;55;52;49;0;55;0;0;0;0;0;0;0;0;0;0;19;15;12;55;15;9D;55;5;5;0;0;0;0;0;0;0;0;0;80;80;80;80;B4;71;71;97;99;0;0;0;0;0;0;0;0;0;0;0;80;85;15;8A;85;85;D0;7B;78;1F;7E;1F;1F;79;79;8D;8D;BC;AD;7B;8F;B7;A3;7B;8F;98;85;76;8F;8A;94;9E;8F;8A;94;9E;85;8F;8A;11;3D;78;C1;0B;0;0;0;0;0;0;0;0;55;F5;55;21;A9;15;59;5;13;12;65;0;0;0;0;0;0;0;0;E2;CF;0D;86;5;12;D0;0C;95;5;AE;0;0;8D;A9;AE;32;32;AF;A5;32;32;32;80;AF;AE;C6;93;AF;88;90;88;98;9F;94;1;19;2F;0;0;62;2A;47;92;33;37;58;01;1;1;C5;1A;0;06;17;0;1;0;0;1;0;0;0D;2;12;47;1;1;1;1;0;0;0;E3;13.0;46.0;3.4;;2023-11-18 10:06:12;19.1027175;75.89829750000001
2023-11-18;10:06:38;71;C8;1;10;56;55;52;49;0;55;0;0;0;0;0;0;0;0;0;0;19;15;12;55;15;9D;55;5;5;0;0;0;0;0;0;0;0;0;80;80;80;80;B4;71;71;97;99;0;0;0;0;0;0;0;0;0;0;0;80;85;15;8A;85;85;D0;7B;78;1F;7E;1F;1F;79;79;8D;8D;BC;AD;7B;8F;B7;A3;7B;8F;98;85;76;8F;8A;94;9E;8F;8A;94;9E;85;8F;8A;11;3D;78;C1;0B;0;0;0;0;0;0;0;0;55;F5;55;21;A9;15;59;5;23;12;65;0;0;0;0;0;0;0;0;E2;CF;0D;86;5;12;D0;0C;95;5;AE;0;0;8D;A9;AE;32;32;AF;A5;32;32;32;80;AF;AE;C6;93;AF;88;90;88;98;9F;94;1;19;2F;0;0;06;2A;46;92;33;37;58;01;1;1;C5;1A;0;06;17;0;1;0;0;1;0;0;0D;2;12;4E;1;1;1;1;0;0;0;29;13.0;46.0;3.4;;2023-11-18 10:06:38;19.1097125;75.90782
2023-11-18;10:07:04;71;C8;1;10;56;55;52;49;0;55;0;0;0;0;0;0;0;0;0;0;19;15;12;55;15;9D;55;5;5;0;0;0;0;0;0;0;0;0;80;80;80;80;B4;71;71;97;99;0;0;0;0;0;0;0;0;0;0;0;80;85;15;8A;85;85;D0;7B;78;1F;7E;1F;1F;79;79;8D;8D;BC;AD;7B;8F;B7;A3;7B;8F;98;85;76;8F;8A;94;9E;8F;8A;94;9E;85;8F;8A;11;3D;78;C1;0B;0;0;0;0;0;0;0;0;55;F5;55;21;A9;15;59;5;23;12;65;0;0;0;0;0;0;0;0;E2;CF;0D;86;5;12;D0;0C;95;5;AE;0;0;8D;A9;AE;32;32;AF;A5;32;32;32;80;AF;AE;C7;93;AE;88;90;88;98;9F;94;1;19;30;0;0;06;2A;46;92;33;37;58;01;1;1;C5;1A;0;06;17;0;1;0;0;1;0;0;0D;2;12;4E;1;1;1;1;0;0;0;28;13.0;46.0;3.4;;2023-11-18 10:07:04;19.1169125;75.91738000000001
2023-11-18;10:07:30;71;C8;1;10;56;55;52;49;0;55;0;0;0;0;0;0;0;0;0;0;19;15;12;55;15;9D;55;5;5;0;0;0;0;0;0;0;0;0;80;80;80;80;B4;71;71;97;99;0;0;0;0;0;0;0;0;0;0;0;80;85;15;8A;85;85;D0;7B;78;1F;7E;1F;1F;79;79;8D;8D;BC;AD;7B;8F;B7;A3;7B;8F;98;85;76;8F;8A;94;9E;8F;8A;94;9E;85;8F;8A;11;3D;78;C1;0B;0;0;0;0;0;0;0;0;55;F5;55;21;A9;15;59;5;24;12;65;0;0;0;0;0;0;0;0;E2;CF;0D;86;5;12;D0;0C;95;5;AE;0;0;8D;A9;AE;32;32;AF;A5;32;32;32;80;AF;AE;C7;93;AF;88;90;88;98;9F;95;1;19;30;0;0;62;2A;47;92;34;37;58;01;1;1;C5;1A;0;06;17;0;1;0;0;1;0;0;0D;2;12;48;1;1;1;1;0;0;0;CD;13.0;46.0;3.4;;2023-11-18 10:07:30;19.12398;75.92746250000002
2023-11-18;10:07:56;71;C8;1;10;56;55;52;49;0;55;0;0;0;0;0;0;0;0;0;0;19;15;12;55;15;9D;55;5;5;0;0;0;0;0;0;0;0;0;80;80;80;80;B4;71;71;97;99;0;0;0;0;0;0;0;0;0;0;0;80;85;15;8A;85;85;D0;7B;78;1F;7E;1F;1F;79;79;8D;8D;BC;AD;7B;8F;B7;A3;7B;8F;98;85;76;8F;8A;94;9E;8F;8A;94;9E;85;8F;8A;11;3D;78;C1;0B;0;0;0;0;0;0;0;0;55;F5;55;21;A9;15;59;5;24;12;65;0;0;0;0;0;0;0;0;E2;CF;0D;86;5;12;D0;0C;95;5;AE;0;0;8D;A9;AE;32;32;AF;A5;32;32;32;80;AF;AF;C7;93;AF;88;91;88;98;9F;95;1;19;2F;0;0;BE;2A;47;92;33;37;58;01;1;1;C5;1A;0;06;17;0;1;0;0;1;0;0;0D;2;12;48;1;1;1;1;0;0;0;71;13.0;46.0;3.4;;2023-11-18 10:07:56;19.130855;75.93848750000001
2023-11-18;10:08:22;71;C8;1;10;56;55;52;49;0;55;0;0;0;0;0;0;0;0;0;0;19;15;12;55;15;9D;55;5;5;0;0;0;0;0;0;0;0;0;80;80;80;80;B4;71;71;97;99;0;0;0;0;0;0;0;0;0;0;0;80;85;15;8A;85;85;D0;7B;78;1F;7E;1F;1F;79;79;8D;8D;BC;AD;7B;8F;B7;A3;7B;8F;98;85;76;8F;8A;94;9E;8F;8A;94;9E;85;8F;8A;11;3D;78;C1;0B;0;0;0;0;0;0;0;0;55;F5;55;21;A9;15;59;5;14;12;65;0;0;0;0;0;0;0;0;E2;CF;0D;86;5;12;D0;0C;95;5;AF;0;0;8D;A9;AF;32;32;AF;A5;32;32;32;80;AF;AF;C7;93;AF;88;91;88;98;9F;95;1;19;2F;0;0;62;2A;47;92;33;37;58;01;1;1;C5;1A;0;06;17;0;1;0;0;1;0;0;0D;2;12;4F;1;1;1;1;0;0;0;D4;13.0;47.0;3.4;;2023-11-18 10:08:22;19.137955;75.948995
2023-11-18;10:08:48;71;C8;1;10;56;55;52;49;0;55;0;0;0;0;0;0;0;0;0;0;19;15;12;55;15;9D;55;5;5;0;0;0;0;0;0;0;0;0;80;80;80;80;B4;71;71;97;99;0;0;0;0;0;0;0;0;0;0;0;80;85;15;8A;85;85;D0;7B;78;1F;7E;1F;1F;79;79;8D;8D;BC;AD;7B;8F;B7;A3;7B;8F;98;85;76;8F;8A;94;9E;8F;8A;94;9E;85;8F;8A;11;3D;78;C1;0B;0;0;0;0;0;0;0;0;55;F5;55;21;A9;15;59;5;12;12;65;0;0;0;0;0;0;0;0;E2;CF;0D;86;5;12;D0;0C;95;5;AF;0;0;8D;AA;AF;32;32;AF;A5;32;32;32;80;AF;AF;C8;93;B0;88;90;88;98;9F;96;1;1A;30;0;0;06;2A;46;92;33;37;58;01;1;1;C5;1A;0;06;17;0;1;0;0;1;0;0;0D;2;12;48;1;1;1;1;0;0;0;35;13.0;47.0;3.4;;2023-11-18 10:08:48;19.145;75.95889000000001
2023-11-18;10:09:14;71;C8;1;10;56;55;52;49;0;55;0;0;0;0;0;0;0;0;0;0;19;15;12;55;15;9D;55;5;5;0;0;0;0;0;0;0;0;0;80;80;80;80;B4;71;71;97;99;0;0;0;0;0;0;0;0;0;0;0;80;85;15;8A;85;85;D0;7B;78;1F;7E;1F;1F;79;79;8D;8D;BC;AD;7B;8F;B7;A3;7B;8F;98;85;76;8F;8A;94;9E;8F;8A;94;9E;85;8F;8A;11;3D;78;C1;0B;0;0;0;0;0;0;0;0;55;F5;55;21;A9;15;59;5;12;12;65;0;0;0;0;0;0;0;0;E2;CF;0D;86;5;12;D0;0C;95;5;AF;0;0;8D;AA;AF;32;32;AF;A5;32;32;32;80;AF;AF;C8;93;AF;88;90;88;98;9F;96;1;1A;2F;0;0;06;2A;47;92;34;37;58;01;1;1;C5;1A;0;06;17;0;1;0;0;1;0;0;0D;2;12;48;1;1;1;1;0;0;0;35;13.0;47.0;3.4;;2023-11-18 10:09:14;19.1520825;75.9684325
2023-11-18;10:09:40;71;C8;1;10;56;55;52;49;0;55;0;0;0;0;0;0;0;0;0;0;19;15;12;55;15;9D;55;5;5;0;0;0;0;0;0;0;0;0;80;80;80;80;B4;71;71;97;99;0;0;0;0;0;0;0;0;0;0;0;80;85;15;8A;85;85;D0;7B;78;1F;7E;1F;1F;79;79;8D;8D;BC;AD;7B;8F;B7;A3;7B;8F;98;85;76;8F;8A;94;9E;8F;8A;94;9E;85;8F;8A;11;3D;78;C1;0B;0;0;0;0;0;0;0;0;55;F5;55;21;A9;15;59;5;22;12;65;0;0;0;0;0;0;0;0;E2;CF;0D;86;5;12;D0;0C;95;5;AF;0;0;8D;AA;AF;32;32;AF;A5;32;32;32;80;AF;AF;C8;93;B0;88;90;88;98;9F;97;1;1A;30;0;0;BE;2A;47;92;33;37;58;01;1;1;C5;1A;0;06;17;0;1;0;0;1;0;0;0D;2;12;51;1;1;1;1;0;0;0;62;13.0;47.0;3.4;;2023-11-18 10:09:40;19.15961;75.97773000000001
